component (CVS directory),bug #,contributor's name,contribution size,committer,description if there is no bug #

,https://bugs.eclipse.org/bugs/show_bug.cgi?id=96704 , Aaron Luchko ,,,([Import/Export] Import doesn't import empty directories)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=23025 , Bob Foster,,,(SaveAsDialog should not assume what is being saved is an IFile)  Fixed 2002-9-11
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=125521, Dominique Emond,,, ([EFS] [Wizards] WorkbenchWizardElement.java 's convertToResources()...)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=125526 , Dominique Emond,,,([IDE] BuildUtilities.java's extractProjects() method...)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=105926 ,Aaron Luchko ,,,Exporting Unnamed profile fails silently --   Fixed in 3.2 M3
,,Aaron Luchko ,,,provided patch to (see file org.eclipse.ui.internal.wizards.datatransfer.ArchiveFileManipulations.java)
,,Aaron Luchko ,,,provided patch to implement extensive changes to allow importing of tar Archive Files and Tests 
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=71460  ,Alex Smirnoff,,,([model] Non *.java file association with Java contents.) Fixed 3.2 M4
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=65268 ,Alex Weirig,,,([projection] editor is missing collapse all...)  Fixed 3.2 M2
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=110922 ,Anatoly Techtonik,,,(The information for the UID is wrong.)  Fixed in 3.2 M3
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=77477,Anatoly Techtonik,,, (Support for CVSNT CVSROOT format)  Fixed in 3.2 M2
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=35997 ,Andrew Craig,,,"(""Team Edit"" should set temporary watch)  Fixed in 3.2 M2"
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=98388 ,Andy,,,(Malformed URLs in org.eclipse.core.launcher.Main.decode() cause Eclipse to crash) (3.2 M6)
,https://bugs.eclipse.org/bugs/show_bug.cgi?id=75086 ,Anton Leherbauer,,,([implementation] Request for a memory efficient...) (3.2 M5) -- provided patch to reduce problems caused by bug: 
,,Artyom Kuanbekov,,,Intel contribution of keyword Index support (ongoing)   Fixed 3.2 M4 and previous Milestones
