component,bug #,contributor's name,contribution size,committer who committed this contribution,description if there is no bug #
Platform UI,https://bugs.eclipse.org/bugs/show_bug.cgi?id=96704 , Aaron Luchko ,small,Karice McIntyre,([Import/Export] Import doesn't import empty directories)
Platform UI,https://bugs.eclipse.org/bugs/show_bug.cgi?id=23025 , Bob Foster,small,Tod Creasey,(SaveAsDialog should not assume what is being saved is an IFile)  Fixed 2002-9-11
Platform UI,https://bugs.eclipse.org/bugs/show_bug.cgi?id=125521, Dominique Emond,small,Tod Creasey, ([EFS] [Wizards] WorkbenchWizardElement.java 's convertToResources()...)
Platform UI,https://bugs.eclipse.org/bugs/show_bug.cgi?id=125526 , Dominique Emond,small,Michael Van Meekeren,([IDE] BuildUtilities.java's extractProjects() method...)
JDT UI,https://bugs.eclipse.org/bugs/show_bug.cgi?id=105926 ,Aaron Luchko ,small,Martin Aeschlimann,Exporting Unnamed profile fails silently --   Fixed in 3.2 M3
Platform UI,,Aaron Luchko ,small,,provided patch to (see file org.eclipse.ui.internal.wizards.datatransfer.ArchiveFileManipulations.java)
Platform UI,,Aaron Luchko ,small,,provided patch to implement extensive changes to allow importing of tar Archive Files and Tests 
JDT Core,https://bugs.eclipse.org/bugs/show_bug.cgi?id=71460  ,Alex Smirnoff,small,Jerome Lanneluc,([model] Non *.java file association with Java contents.) Fixed 3.2 M4
Platform Text,https://bugs.eclipse.org/bugs/show_bug.cgi?id=65268 ,Alex Weirig,small,Tom Eicher,([projection] editor is missing collapse all...)  Fixed 3.2 M2
Platform CVS,https://bugs.eclipse.org/bugs/show_bug.cgi?id=110922 ,Anatoly Techtonik,small,Bogdan Gheorghe,(The information for the UID is wrong.)  Fixed in 3.2 M3
Platform CVS,https://bugs.eclipse.org/bugs/show_bug.cgi?id=77477,Anatoly Techtonik,small,Bogdan Gheorghe, (Support for CVSNT CVSROOT format)  Fixed in 3.2 M2
Platform Team,https://bugs.eclipse.org/bugs/show_bug.cgi?id=35997 ,Andrew Craig,small,Michael Valenta,"(""Team Edit"" should set temporary watch)  Fixed in 3.2 M2"
Platform Runtime,https://bugs.eclipse.org/bugs/show_bug.cgi?id=98388 ,Andy,small,Pascal Rapicault,(Malformed URLs in org.eclipse.core.launcher.Main.decode() cause Eclipse to crash) (3.2 M6)
Platform Text,https://bugs.eclipse.org/bugs/show_bug.cgi?id=75086 ,Anton Leherbauer,small,Daniel Megert,([implementation] Request for a memory efficient...) (3.2 M5) -- provided patch to reduce problems caused by bug: 
*Platform User Assistance,,Artyom Kuanbekov,small,,Intel contribution of keyword Index support (ongoing)   Fixed 3.2 M4 and previous Milestones
PDE Build,https://bugs.eclipse.org/bugs/show_bug.cgi?id=81833,Ben Konrath,small,Pascal Rapicault, ([o.e.pde.build] dangling extensions) (3.2 M6)
Platform UI,https://bugs.eclipse.org/bugs/show_bug.cgi?id=111428,Brock Janicyak,small,Tod Creasey, ([HeapStatus] Heap status is updated too frequently)  Fixed 3.2 M3
Platform CVS,https://bugs.eclipse.org/bugs/show_bug.cgi?id=115226,Brock Janiczak,small,Bogdan Gheorghe, (Show progress feedback in NewLocationWizard...)  Fixed in 3.2 M4
Platform UI,https://bugs.eclipse.org/bugs/show_bug.cgi?id=10025 ,Cagatay Kavukcuoglu,small,Boris Bokowski,(Resizing views should not use height ratios)  Code released to development stream in 2002.
Platform UI,,Cagatay Kavukcuoglu,small,,provided patch to filter for markers in same project as Resizing views should not use height ratios
Platform UI,https://bugs.eclipse.org/bugs/show_bug.cgi?id=49497 ,Chris Gross,small,Nick Edgar,([RCP] JFace dependency on org.eclipse.core.runtime...)  Fixed in 3.2 M4
Platform UI,,Chris Gross,small,,provided intial implementation of /org.eclipse.jface/src/org/eclipse/jface/util/ILogger.java
Platform UI,https://bugs.eclipse.org/bugs/show_bug.cgi?id=99155 ,Chris Gross ,small,Paul Webster,([RCP] [Perspectives] Perspective extension with ...)
Platform UI,https://bugs.eclipse.org/bugs/show_bug.cgi?id=70856,Chris Longfield ,small,Tod Creasey, ([Viewers] ComboViewer internalRefresh is slow)  Fixed in 3.1 M6 and 3.0.1
Platform UI,https://bugs.eclipse.org/bugs/show_bug.cgi?id=38547 ,Chris Tilt ,small,Tod Creasey,"(""[Preferences] Changing preferences ignored after..."")  Fixed in 20040630"
Platform UI,https://bugs.eclipse.org/bugs/show_bug.cgi?id=11490,Dan Rubel,small,Simon Arsenault, (define hidden view (placeholder for view) in plugin.xml)  Fixed in 2002-04-23
Platform UI,,Dan Rubel,small,,provided patch to implement an accessor to get context menu ids
Equinox Framework,https://bugs.eclipse.org/bugs/show_bug.cgi?id=105941,Daniel M. Schumacher,small,Thomas Watson, ([osgi] Use separate encoding for console i/o) (3.2 M6)
JDT UI,https://bugs.eclipse.org/bugs/show_bug.cgi?id=102632,David Saff,small,Markus Keller,  ([JUnit] Support for JUnit 4.) (R3.2 M6)
Platform Team,https://bugs.eclipse.org/bugs/show_bug.cgi?id=102785,Emil Thord,small,Michael Valenta, (FTP don't load username/password when opening a site.)  Fixed in 3.2 M1
Platform SWT,https://bugs.eclipse.org/bugs/show_bug.cgi?id=128448,Eric Zimmerman,small,Grant Gayed, ([Browser] No javascript confirm dialog.)  (3.2 M6)
Platform CVS,https://bugs.eclipse.org/bugs/show_bug.cgi?id=102654,Eugene Kuleshov,small,Bogdan Gheorghe, (Proxy support for pserver connections.)  (3.2 M6)
Platform Team,https://bugs.eclipse.org/bugs/show_bug.cgi?id=104129,Eugene Kuleshov,small,Michael Valenta, (Add option to wrap comments in CVS history view)   Fixed in 3.2 M1
Platform Team,https://bugs.eclipse.org/bugs/show_bug.cgi?id=112025 ,Eugene Kuleshov,small,Bogdan Gheorghe,"(Add ""pin"" icon marker for pinned syncronizaations...) Fixed in 3.2 M3"
Platform Team,https://bugs.eclipse.org/bugs/show_bug.cgi?id=113969,Eugene Kuleshov,small,Bogdan Gheorghe," (Add ""schedule"" icon marker for scheduled syncronizations...) Fixed in 3.2 M3"
Platform CVS,https://bugs.eclipse.org/bugs/show_bug.cgi?id=98771,Eugene Kuleshov,small,Michael Valenta, (Add variable for CVS repository label to CVS text decorations.) Fixed in 3.2 M1
