ajain	5,148	30,686	69,612	76,916	
aniefer	210	596	1,274	1,908	
bdealwis	332	8,467	12,976	20,237	
carolyn	1,910	4,150	4,831	5,424	
cdaniel	 	8	58	58	
cwindatt	5,906	17,910	48,651	95,941	
david_williams	57,542	97,999	97,999	97,999	
dazad	2,560	5,854	18,614	25,114	
dbranekov	 	31	11,008	11,008	
dmegert	9,056	19,127	35,737	52,677	
droberts	 	40	18,589	18,589	
emoffatt	210	2,336	8,993	13,569	
ggayed	6,682	24,482	32,940	39,699	
gheorghe	3,305	26,400	69,454	113,036	
irbull	 	64	64	146	
jarthanaree	1,862	2,452	4,730	7,520	
johna	14,861	36,613	51,659	60,758	
kmoir	 	1,600	255,701	420,098	
lshanmugam	16	345	5,205	5,215	
lvogel	131	131	131	131	
mkeller	16,608	32,016	43,200	526,578	
mrennie	5,423	16,184	183,538	198,727	
obesedin	280	3,196	13,830	20,810	
oliviert	18	834	7,070	105,415	
ppiech	521	1,940	3,882	21,205	
prapicau	 	93	93	93	
pwebster	18,721	174,914	202,512	211,037	
rsuen	 	434	9,600	15,016	
sbeauchamp	 	12	556	556	
sbrandys	7,275	11,906	27,604	28,090	
sfranklin	4,644	9,294	23,929	28,083	
sherrmann	666	3,862	36,722	66,024	
silenio	1,585	8,258	19,306	71,027	
skandula	2,438	17,418	27,388	31,140	
sptaszkiewi	 	1,120	1,460	1,666	
ssankaran	5,688	7,000	17,988	20,114	
tschindl	7,442	7,562	7,887	7,988	
twatson	54	122	745	1,961	
tzarna	4,859	12,144	19,496	226,583	
asharma	 	 	4,846	35,092	
bbokowski	 	 	28	176	
bcabe	 	 	16	16	
caustin	 	 	52	7,842	
dj	 	 	3,304	4,567	
jblackburn	 	 	452	452	
krzysztof.daniel	 	 	122	122	
cgoldthor	 	 	 	14,790	
fheidric	 	 	 	1,134	
mhall	 	 	 	1,920	
rvasisht	 	 	 	1,120	
